StockCode,Description,TotalQuantity,TotalRevenue,OrderCount
22662,LUNCH BAG DOLLY GIRL DESIGN,6545,10360.69,598
22730,ALARM CLOCK BAKELIKE IVORY,2728,10285.61,468
22087,PAPER BUNTING WHITE LACE,3779,10264.050000000001,257
85014B,RED RETROSPOT UMBRELLA,1846,10247.470000000001,303
21479,WHITE SKULL HOT WATER BOTTLE ,2702,10227.72,378
22617,BAKING SET SPACEBOY DESIGN,2153,10210.890000000001,424
23170,REGENCY TEA PLATE ROSES ,6575,10190.789999999999,328
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,928,10161.41,260
22988,SOLDIERS EGG CUP ,8821,10150.220000000001,327
20724,RED RETROSPOT CHARLOTTE BAG,12809,10125.85,739
47590A,BLUE HAPPY BIRTHDAY BUNTING,1950,10107.52,355
71459,HANGING JAM JAR T-LIGHT HOLDER,12941,10031.45,379
21891,TRADITIONAL WOODEN SKIPPING ROPE,7919,10019.47,340
23208,LUNCH BAG VINTAGE LEAF DESIGN,6225,10006.45,597
23300,GARDENERS KNEELING PAD CUP OF TEA ,6303,9963.39,635
22499,WOODEN UNION JACK BUNTING,1734,9928.83,296
48173C,DOORMAT BLACK FLOCK ,1787,9822.2,173
23343,JUMBO BAG VINTAGE CHRISTMAS ,4908,9748.34,385
23076,ICE CREAM SUNDAE LIP GLOSS,7920,9668.16,248
22970,LONDON BUS COFFEE MUG,4246,9666.3,276
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12313,9656.789999999999,732
22569,FELTCRAFT CUSHION BUTTERFLY,2698,9655.48,294
22690,DOORMAT HOME SWEET HOME BLUE ,1597,9635.89,261
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,2525,9618.29,234
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,15611,9597.710000000001,529
22846,BREAD BIN DINER STYLE RED ,626,9597.31,249
22556,PLASTERS IN TIN CIRCUS PARADE ,5952,9596.96,521
22605,WOODEN CROQUET GARDEN SET,709,9555.98,240
22633,HAND WARMER UNION JACK,4746,9550.560000000001,441
22692,DOORMAT WELCOME TO OUR HOME,1378,9468.08,338
22555,PLASTERS IN TIN STRONGMAN,5885,9462.289999999999,449
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2704,9424.32,319
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1266,9374.7,214
22766,PHOTO FRAME CORNICE,3206,9365.78,454
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8273,9339.34,278
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2469,9329.17,319
22560,TRADITIONAL MODELLING CLAY,8014,9311.47,336
22621,TRADITIONAL KNITTING NANCY,5895,9297.869999999999,509
21914,BLUE HARMONICA IN BOX ,7434,9222.63,517
21481,FAWN BLUE HOT WATER BOTTLE,2925,9218.550000000001,379
21217,RED RETROSPOT ROUND CAKE TINS,975,9188.25,257
23171,REGENCY TEA PLATE GREEN ,5966,9184.9,270
22978,PANTRY ROLLING PIN,2407,9184.279999999999,197
22561,WOODEN SCHOOL COLOURING SET,5695,9072.869999999999,395
20679,EDWARDIAN PARASOL RED,1630,9055.87,270
23175,REGENCY MILK JUG PINK ,3066,9008.0,272
22992,REVOLVER WOODEN RULER ,4917,8950.289999999999,285
22632,HAND WARMER RED POLKA DOT,4394,8751.12,359
22838,3 TIER CAKE TIN RED AND CREAM,652,8737.78,136
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,3716,8734.64,426
85150,LADIES & GENTLEMEN METAL SIGN,3899,8699.13,367
84375,SET OF 20 KIDS COOKIE CUTTERS,4149,8697.27,416
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7131,8648.49,535
22966,GINGERBREAD MAN COOKIE CUTTER,7204,8625.130000000001,554
84991,60 TEATIME FAIRY CAKE CASES,17689,8618.37,657
22619,SET OF 6 SOLDIER SKITTLES,2297,8597.5,339
82582,AREA PATROLLED METAL SIGN,4290,8552.220000000001,374
23582,VINTAGE DOILY JUMBO BAG RED ,4447,8535.26,234
21791,VINTAGE HEADS AND TAILS CARD GAME ,7143,8531.41,485
23581,JUMBO BAG PAISLEY PARK,4373,8529.24,302
22424,ENAMEL BREAD BIN CREAM,713,8519.0,326
22041,"RECORD FRAME 7"" SINGLE SIZE ",3812,8450.82,196
22169,FAMILY ALBUM WHITE PICTURE FRAME,1075,8416.64,286
22791,T-LIGHT GLASS FLUTED ANTIQUE,7336,8378.890000000001,260
21174,POTTERING IN THE SHED METAL SIGN,3926,8372.7,371
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1841,8354.87,241
23318,BOX OF 6 MINI VINTAGE CRACKERS,3647,8350.41,329
22989,SET 2 PANTRY DESIGN TEA TOWELS,2697,8323.17,311
22147,FELTCRAFT BUTTERFLY HEARTS,6127,8314.55,436
22759,SET OF 3 NOTEBOOKS IN PARCEL,5207,8283.75,319
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,10279,8269.45,306
23319,BOX OF 6 MINI 50'S CRACKERS,3539,8216.79,365
23322,LARGE WHITE HEART OF WICKER,2908,8184.700000000001,511
22158,3 HEARTS HANGING DECORATION RUSTIC,2895,8161.21,261
23082,SET 6 PAPER TABLE LANTERN HEARTS ,2265,8129.43,263
22655,VINTAGE RED KITCHEN CABINET,60,8125.0,38
23256,CHILDRENS CUTLERY SPACEBOY ,2018,8123.780000000001,324
23078,ICE CREAM PEN LIP GLOSS ,6607,8077.31,213
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2223,8071.51,401
48116,DOORMAT MULTICOLOUR STRIPE,1419,8053.22,141
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2843,8051.83,329
22729,ALARM CLOCK BAKELIKE ORANGE,2182,7995.63,359
23080,RED METAL BOX TOP SECRET,1003,7962.03,221
22667,RECIPE BOX RETROSPOT ,2870,7952.900000000001,441
21210,SET OF 72 RETROSPOT PAPER  DOILIES,5680,7947.37,365
21121,SET/10 RED POLKADOT PARTY CANDLES,6502,7799.18,336
22652,TRAVEL SEWING KIT,4864,7787.36,394
72741,GRAND CHOCOLATECANDLE,5801,7785.049999999999,249
84378,SET OF 3 HEART COOKIE CUTTERS,6019,7741.84,521
22940,FELTCRAFT CHRISTMAS FAIRY,1896,7722.68,302
20711,JUMBO BAG TOYS ,4198,7689.28,245
35970,ZINC FOLKART SLEIGH BELLS,4647,7665.110000000001,339
23439,HAND WARMER RED LOVE HEART,3762,7660.200000000001,371
22768,FAMILY PHOTO FRAME CORNICE,837,7646.839999999999,233
22192,BLUE DINER WALL CLOCK,907,7528.93,338
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2067,7510.29,281
21136,PAINTED METAL PEARS ASSORTED,4476,7491.4,352
22952,60 CAKE CASES VINTAGE CHRISTMAS,14759,7431.05,467
21314,SMALL GLASS HEART TRINKET POT,3670,7412.56,342
22557,PLASTERS IN TIN VINTAGE PAISLEY ,4573,7346.69,480
21770,OPEN CLOSED METAL SIGN,1577,7311.360000000001,341
20719,WOODLAND CHARLOTTE BAG,9237,7277.24,531
22616,PACK OF 12 LONDON TISSUES ,25345,7266.71,382
22804,CANDLEHOLDER PINK HANGING HEART,2869,7247.910000000001,409
21889,WOODEN BOX OF DOMINOES,5778,7215.95,449
21908,CHOCOLATE THIS WAY METAL SIGN,3635,7208.52,374
84949,SILVER HANGING T-LIGHT HOLDER,4665,7193.249999999999,250
23238,SET OF 4 KNICK KNACK TINS LONDON ,1788,7170.6,233
22750,FELTCRAFT PRINCESS LOLA DOLL,1964,7166.94,378
22585,PACK OF 6 BIRDY GIFT TAGS,6062,7149.7,319
22355,CHARLOTTE BAG SUKI DESIGN,8975,7138.65,585
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3468,7128.1,421
84406B,CREAM CUPID HEARTS COAT HANGER,1918,7125.38,241
84836,ZINC METAL HEART DECORATION,5757,7108.68,476
22795,SWEETHEART RECIPE BOOK STAND,1099,7084.650000000001,287
21218,RED SPOTTY BISCUIT TIN,2058,7071.2,203
23007, SPACEBOY BABY GIFT SET,450,7065.499999999999,142
22950,36 DOILIES VINTAGE CHRISTMAS,5180,7045.4,166
22741,FUNKY DIVA PEN,8328,7010.94,155
21787,RAIN PONCHO RETROSPOT,8755,6964.63,180
23215,JINGLE BELL HEART ANTIQUE SILVER,3547,6962.04,197
22767,TRIPLE PHOTO FRAME CORNICE ,761,6932.83,208
23320,GIANT 50'S CHRISTMAS CRACKER,2635,6926.110000000001,310
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5753,6923.17,321
23543,KEEP CALM WALL ART ,1228,6877.72,94
21231,SWEETHEART CERAMIC TRINKET BOX,5757,6875.860000000001,381
21213,PACK OF 72 SKULL CAKE CASES,14309,6859.31,499
22456,NATURAL SLATE CHALKBOARD LARGE ,1452,6833.200000000001,303
23321,SMALL WHITE HEART OF WICKER,4283,6832.829999999999,582
84970S,HANGING HEART ZINC T-LIGHT HOLDER,8470,6830.589999999999,412
23236,DOILEY STORAGE TIN,2459,6828.31,284
22991,GIRAFFE WOODEN RULER,3710,6820.74,234
21035,SET/2 RED RETROSPOT TEA TOWELS ,2319,6820.01,219
22844,VINTAGE CREAM DOG FOOD CONTAINER,826,6779.35,292
22487,WHITE WOOD GARDEN PLANT LADDER,724,6778.8099999999995,379
21169,YOU'RE CONFUSING ME METAL SIGN ,4281,6762.57,342
22333,RETROSPOT PARTY BAG + STICKER SET,4391,6749.23,267
23493,VINTAGE DOILY TRAVEL SEWING KIT,3522,6747.9,349
23083,SET 6 PAPER TABLE LANTERN STARS ,1860,6739.63,209
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1876,6734.31,257
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5293,6718.9,498
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2853,6717.79,324
48111,DOORMAT 3 SMILEY CATS,1107,6715.25,174
21877,HOME SWEET HOME MUG,5347,6708.11,293
23254,CHILDRENS CUTLERY DOLLY GIRL ,1664,6704.0,276
C2,CARRIAGE,134,6686.0,133
22634,CHILDS BREAKFAST SET SPACEBOY ,731,6681.849999999999,203
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4260,6677.0,140
22294,HEART FILIGREE DOVE  SMALL,5439,6671.07,246
21955,DOORMAT UNION JACK GUNS AND ROSES,1159,6635.61,155
22840,ROUND CAKE TIN VINTAGE RED,891,6600.7300000000005,250
23283,DOORMAT VINTAGE LEAVES DESIGN ,967,6600.27,209
22627,MINT KITCHEN SCALES,792,6599.79,304
22968,ROSE COTTAGE KEEPSAKE BOX ,729,6574.95,144
22725,ALARM CLOCK BAKELIKE CHOCOLATE,1776,6574.26,322
22367,CHILDRENS APRON SPACEBOY DESIGN,3543,6572.49,448
23008,DOLLY GIRL BABY GIFT SET,421,6567.95,120
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8122,6530.259999999999,489
23109,LED TEA LIGHTS,2325,6528.25,228
22553,PLASTERS IN TIN SKULLS,4036,6505.799999999999,439
23293,SET OF 12 FAIRY CAKE BAKING CASES,8243,6469.45,465
23103,BELL HEART DECORATION,3939,6456.149999999999,316
21259,VICTORIAN SEWING BOX SMALL ,1128,6432.110000000001,237
23134,LARGE ZINC HEART WALL ORGANISER,1064,6414.48,37
21165,BEWARE OF THE CAT METAL SIGN ,4027,6405.3099999999995,359
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1023,6378.150000000001,225
85014A,BLACK/BLUE POLKADOT UMBRELLA,1133,6367.9400000000005,256
21122,SET/10 PINK POLKADOT PARTY CANDLES,5257,6353.58,304
23229,VINTAGE DONKEY TAIL GAME ,1804,6336.43,219
23534,STOP FOR TEA WALL ART,1207,6326.83,194
22637,PIGGY BANK RETROSPOT ,2619,6308.57,262
22505,MEMO BOARD COTTAGE DESIGN,1365,6306.1900000000005,262
21669,BLUE STRIPE CERAMIC DRAWER KNOB,4969,6284.25,351
84992,72 SWEETHEART FAIRY CAKE CASES,13070,6274.900000000001,501
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2151,6273.29,337
21533,RETROSPOT LARGE MILK JUG,1317,6267.150000000001,310
23553,LANDMARK FRAME CAMDEN TOWN ,558,6257.35,62
22381,TOY TIDY PINK POLKADOT,3169,6229.58,289
21668,RED STRIPE CERAMIC DRAWER KNOB,5035,6224.03,333
22826,LOVE SEAT ANTIQUE WHITE METAL,58,6210.0,41
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,163
23541,WALL ART CLASSIC PUDDINGS ,829,6154.69,120
21871,SAVE THE PLANET MUG,5265,6151.78,270
22834,HAND WARMER BABUSHKA DESIGN,4633,6149.33,288
23480,MINI LIGHTS WOODLAND MUSHROOMS,1719,6126.09,173
22303,COFFEE MUG APPLES DESIGN,2770,6124.15,229
22631,CIRCUS PARADE LUNCH BOX ,3375,6122.629999999999,256
75049L,LARGE CIRCULAR MIRROR MOBILE,6821,6107.049999999999,118
21326,AGED GLASS SILVER T-LIGHT HOLDER,10088,6083.200000000001,277
22635,CHILDS BREAKFAST SET DOLLY GIRL ,657,6063.0,180
47556B,TEA TIME TEA TOWELS ,2600,6045.0,2
22663,JUMBO BAG DOLLY GIRL DESIGN,3097,6008.41,317
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11675,5982.09,504
17003,BROCADE RING PURSE ,22963,5980.05,206
22654,DELUXE SEWING KIT ,1058,5974.62,222
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1280,5968.9800000000005,159
22620,4 TRADITIONAL SPINNING TOPS,4491,5960.08,364
22508,DOORSTOP RETROSPOT HEART,1516,5938.21,236
21975,PACK OF 60 DINOSAUR CAKE CASES,12134,5934.68,529
23535,BICYCLE SAFTEY WALL ART,1128,5928.36,162
22151,PLACE SETTING WHITE HEART,14877,5922.2699999999995,289
22783,SET 3 WICKER OVAL BASKETS W LIDS,462,5922.12,32
71053,WHITE METAL LANTERN,1639,5915.95,250
21380,WOODEN HAPPY BIRTHDAY GARLAND,2093,5910.150000000001,232
21155,RED RETROSPOT PEG BAG,2460,5880.049999999999,354
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1980,5855.24,238
22356,CHARLOTTE BAG PINK POLKADOT,7306,5840.64,487
23169,CLASSIC GLASS SWEET JAR,1453,5837.950000000001,262
21535,RED RETROSPOT SMALL MILK JUG,2460,5830.2,310
47591D,PINK FAIRY CAKE CHILDRENS APRON,3144,5823.36,397
21484,CHICK GREY HOT WATER BOTTLE,1555,5810.37,282
22979,PANTRY WASHING UP BRUSH,3920,5795.86,304
23247,BISCUIT TIN 50'S CHRISTMAS,2060,5795.2,271
23172,REGENCY TEA PLATE PINK,3688,5793.28,224
22779,WOODEN OWLS LIGHT GARLAND ,1535,5781.35,147
84030E,ENGLISH ROSE HOT WATER BOTTLE,1423,5767.91,277
21888,BINGO SET,1553,5725.71,280
22784,LANTERN CREAM GAZEBO ,1214,5721.42,259
23485,BOTANICAL GARDENS WALL CLOCK ,259,5719.0,80
23113,PANTRY CHOPPING BOARD,1138,5695.86,43
62018,SOMBRERO ,4402,5691.5,59
23296,SET OF 6 TEA TIME BAKING CASES,4879,5687.150000000001,319
21922,UNION STRIPE WITH FRINGE  HAMMOCK,759,5682.09,167
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,5700,5664.78,336
22485,SET OF 2 WOODEN MARKET CRATES,462,5652.9,165
48129,DOORMAT TOPIARY,880,5644.46,182
23204,CHARLOTTE BAG APPLES DESIGN,7039,5632.15,425
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,4564,5618.04,307
22971,QUEENS GUARD COFFEE MUG,2365,5603.57,233
21156,RETROSPOT CHILDRENS APRON,3039,5587.87,292
84988,SET OF 72 PINK HEART PAPER DOILIES,3954,5566.679999999999,307
23311,VINTAGE CHRISTMAS STOCKING ,2199,5564.25,281
